,Parent Category,Category,INDC Sector,INDC technology,Unconditional Target,Technology Needs,More information on INDC technology,TNA / TAP technology prioritised,More information of on TNA / TAP Technology,Actions / project ideas,Country,Valid?
637,MITIGATION,Forestry,Forest management for mitigation,REFORESTATION,Investment worth US$20.75 million,Investment worth US$ 37.5 million + US$ 3.75 million for studies.,National program for rehabilitation and rehabilitation of post-exploitation areas. Studies required prior to implementation,0,0,0,Central African Republic,1
638,MITIGATION,Forestry,Forest management for mitigation,FOREST GOVERNANCE,0,Investment worth US$ 106.5 million + US$ 10.65 million for studies.,Implementation and monitoring of forest management plans.,0,0,0,Central African Republic,1
639,MITIGATION,Forestry,Forest management for mitigation,FOREST PROTECTION AND CONSERVATION,0,Investment worth US$ 6.5 million,Ensuring sustainable management of forests through improved land use planning.,0,0,Project to be implemented in C.A.R. and Republic of Congo.,Central African Republic,1
640,MITIGATION,Energy efficiency,Appliances and equipment,COMMUNITY-BASED ENERGY SERVICES,No target defined.,Investment worth US$ 1 million + US$ 100 thousand for studies.,Promotion of low-energy lightbulbs initiated by national power company.,0,0,0,Central African Republic,1
641,MITIGATION,Energy efficiency,Appliances and equipment,IMPROVED COOK STOVES,No target defined.,Investment worth US$ 5 million + US$ 500 thousand for studies.,Promotion of improved cook stoves.,0,0,0,Central African Republic,1
642,MITIGATION,Renewable energy,Bioenergy,BIOMASS POWER,0,Investment worth US$ 12.5 million + US$ 1.25 million for studies.,Implementation of a national program for advanced conversion of wood under LUCF and Energy sectors.,0,0,0,Central African Republic,1
643,MITIGATION,Renewable energy,Solar,SOLAR PV,0,Investment worth US$ 100 million + US$ 10 million for studies.,Solar PV powerplant construction.,0,0,Solar PV powerplant construction in Bangui.,Central African Republic,1
644,MITIGATION,Renewable energy,Solar,SOLAR COOLING AND HYBRID SYSTEMS WITH HEATING AND HOT WATER,0,Solar heat and solar PV energy,0,0,0,0,Central African Republic,1
645,MITIGATION,Renewable energy,Hydro,LARGE-SCALE HYDROPOWER,0,Investment worth US$ 1.416 billion + US$ 141.625 million for studies.,"Mulitple proposed ideas, include construction of a sluice dam.",0,0,"Construction of following hydro plants: 180 MW at Dimoli, 72 MW at Lobaye, Mobaye hydro plant.
 Construction of a sluice dam along Ubangi river at Zinga. Development of 60 KW La Kotto hydro plant.",Central African Republic,1
646,MITIGATION,Renewable energy,Hydro,SMALL-SCALE HYDROPOWER,0,Hydroelectric micro-dams,0,0,0,0,Central African Republic,1
647,MITIGATION,Transport,Vehicle and Fuel Technologies,UNDEFINED,0,Investment worth US$ 25 million + US$ 2.5 million for studies.,Specific technologies not provided.,0,0,National Biofuels Programme,Central African Republic,1
648,MITIGATION,Agriculture,Livestock management,GRAZING LAND MANAGEMENT,0,Investment worth US$ 100 million + US$ 10 million for studies.,National transhumance management program.,0,0,0,Central African Republic,1
649,MITIGATION,Agriculture,Soil management,RESTORATION OF DEGRADED LANDS,0,Soil analysis techniques.,0,0,0,0,Central African Republic,1
650,MITIGATION,Agriculture,Livestock management,LIVESTOCK DISEASE MANAGEMENT,0,"Monitoring, prevention and control of foreign animal diseases.",These diseases can impact human health and ecosystems downstream.,0,0,0,Central African Republic,1
651,MITIGATION,Agriculture,Cropland,PRECISION AGRICULTURE,0,Agroecology,0,0,0,0,Central African Republic,1
652,MITIGATION,Waste Management,Recycling,UNDEFINED,0,Waste recycling and reclamation,0,0,0,0,Central African Republic,1
653,MITIGATION,Waste Management,Wastewater,WASTEWATER MANAGEMENT,0,Treating industrial effluents,0,0,0,0,Central African Republic,1
654,MITIGATION,Industry,Manufacturing industry,ELECTRONIC DEVICES,0,0,Particle and gas sensors,0,0,0,Central African Republic,1
655,ADAPTATION,Agriculture and Forestry,Land management training,COMMUNITY-BASED AGRICULTURAL EXTENSION,Investment worth US$ 2.5 million.,0,Gradually encouraging communities to abandon slash and burn agriculture and stop burning of agricultural waste.,0,0,0,Central African Republic,1
656,ADAPTATION,Agriculture and Forestry,"Seed, grain & food storage",EX SITU CONSERVATION AND SEED BANKS,0,"Production, inspection and certification of seeds.",0,0,0,0,Central African Republic,1
657,ADAPTATION,Agriculture and Forestry,Increasing crop resilience and productivity,PEST AND INSECT CONTROL,0,Integrated plant disease management.,0,0,0,0,Central African Republic,1
659,ADAPTATION,Infrastructure and Urban planning,Undefined,UNDEFINED,"Investment worth US$ 40,200","Investment worth US$ 335 thousand + US$ 33,500 for studies.",Integrating climate change into development plans and strategies.,0,0,0,Central African Republic,1
660,ADAPTATION,Infrastructure and Urban planning,Land use in human settlements,LAND USE IN HUMAN SETTLEMENTS,0,Investment worth US$ 8 million + US$ 800 thousand for studies.,Promotion of urban and suburban forestery in cities.,0,0,0,Central African Republic,1
661,ADAPTATION,Early Warning and Environmental Assesment,Hazard mapping,DROUGHT RISK MAPPING,0,Investment worth US$ 80 million + US$ 8 million for studies.,Drought management program.,0,0,0,Central African Republic,1
662,ADAPTATION,Coss-sectoral Enablers and Approaches,Governance and Planning,NATIONAL ADAPTATION PROGRAMMES OF ACTION,"Investment worth US$ 72,000","Investment worth US$ 600 thousand + US$ 60,000 for studies.",Development of a National Climate Change Adaptation Plan,0,0,0,Central African Republic,1
663,ADAPTATION,Coss-sectoral Enablers and Approaches,Governance and Planning,TECHNOLOGY NEEDS ASSESSMENT,"Investment worth US$ 60,000","Investment worth US$ 500 thousand + US$ 50,000 for studies.",Evaluating needs and developing a national strategy in area of technology transfer.,0,0,0,Central African Republic,1
664,ADAPTATION,Coss-sectoral Enablers and Approaches,Economics and financial decisionmaking,CLIMATE FINANCING,"Investment worth US$ 24,000","Investment worth US$ 200 thousand + US$ 20,000 for studies.",Prepare the country to be Green Climate Fund eligible.,0,0,0,Central African Republic,1
665,ADAPTATION,Coss-sectoral Enablers and Approaches,Communication and Awareness,KNOWLEDGE MANAGEMENT SYSTEMS,0,Forest and land monitoring system.,0,0,0,0,Central African Republic,1
666,ADAPTATION,Coss-sectoral Enablers and Approaches,Communication and Awareness,EARLY WARNING AND FORECASTING SYSTEMS,0,Climatological and meteorological system,0,0,0,0,Central African Republic,1
667,ADAPTATION,Human Health,Public health services,AIR QUALITY MONITORING,0,Investment worth US$ 25 million + US$ 2.5 million for studies.,Program for reducing short-lived climate pollutants.,0,0,0,Central African Republic,1
668,ADAPTATION,Human Health,Vector-borne diseases,VECTOR-BORNE DISEASE PREVENTION,0,Investment worth US$ 5 million + US$ 500 thousand for studies.,Prevention of waterborne diseases and other seasonal pathogens.,0,0,0,Central African Republic,1
669,ADAPTATION,Water,Riverine flood protection,ACCOMMODATION FOR FLOODING,0,Investment worth US$ 80 million + US$ 8 million for studies.,Developing a flood management program.,0,0,0,Central African Republic,1
670,ADAPTATION,Water,Riverine flood protection,RIVER RESTORATION,0,Investment worth US$ 15 million + US$ 1.5 million for studies.,0,0,0,Ubangi riverbank development project.,Central African Republic,1
671,ADAPTATION,Water,Integrated planning,INTEGRATED WATER RESOURCES MANAGEMENT,0,Investment worth US$ 600 million + US$ 60 million for studies.,Planning drinking water support systems.,0,0,0,Central African Republic,1
672,MITIGATION,Energy efficiency,Energy distribution,CONNECTION OF ISOLATED GRID,"Investment worth US$ 70.5 million.
 Investment worth US$ 40.7 million.","Investment worth US$ 550 million.
 Investment worth US$ 407 million.","Construction of a 225 kV line to interconnect all cities.
 Expand grid to provide electricity access between cities across the country.",0,0,0,Chad,1
673,MITIGATION,Energy efficiency,Appliances and equipment,IMPROVED COOK STOVES,Investment worth US$ 57.76 million.,Investment worth US$ 180 million.,Use of Butane gas and promotion of efficient domestic energy sources.,0,0,0,Chad,1
674,MITIGATION,Renewable energy,Solar,SOLAR PV,Investment worth US$ 185 million,Investment worth US$ 1.84 billion,Increase solar energy capacity to 140 MW,0,0,0,Chad,1
675,MITIGATION,Renewable energy,Renewable energy infrastructure,GRID INTEGRATION FOR RENEWABLES *,Investment worth US$ 57.24 million,Investment worth US$ 542.75 million,"Assumption: hydropower is a renewable energy source.
 Interonnection between Chad and Cameroon power grids to open up 500 GWh of hydro electricity from Cameroon to Chad.",0,0,Solar PV powerplant construction in Bangui.,Chad,1
676,MITIGATION,Renewable energy,Wind,ON-SHORE WIND,Investment worth US$ 12.58 million,Investment worth US$ 125.8 million.,Production of up to 50 GWh of wind energy per year.,0,0,0,Chad,1
677,MITIGATION,Transport,Vehicle and Fuel Technologies,UNDEFINED,0,Investment worth US$ 25 million + US$ 2.5 million for studies.,Specific technologies not provided.,0,0,National Biofuels Programme,Chad,1
678,MITIGATION,Agriculture,Cropland,IRRIGATION,0,Develop irrigation infrastructure to improve agriculture and while limiting water conservation.,"Infrastructure includes retention ponds, irrigated perimeters, artifical lakes",0,0,0,Chad,1
679,MITIGATION,Agriculture,Livestock management,GRAZING LAND MANAGEMENT,0,"Preserve natural resources while following traditional transhumance patterns to secure grazing lands for herds.
 Bring consensus on transhumance between various livestock stakeholder groups.",0,0,0,0,Chad,1
680,ADAPTATION,Early Warning and Environmental Assesment,Hazard mapping,VULNERABILITY ASSESSMENT TOOLS,0,"Create systems that inform communities hit by diseases, or where water and grazing resources are significantly stressed.",0,0,0,0,Chad,1
681,ADAPTATION,Early Warning and Environmental Assesment,Monitoring systems,ECOSYSTEM MONITORING,0,"Climate and ecosystem monitoring systems.
 Hydrometeorological monitoring systems.",0,0,0,0,Chad,1
682,ADAPTATION,Early Warning and Environmental Assesment,Monitoring systems,WATER RESOURCE ASSESSMENT,0,"Assess water resources. Create, renovate and manage water resources accoding to human needs while protecting nearby environment.",0,0,0,0,Chad,1
683,ADAPTATION,Agriculture and Forestry,"Agro-forestry, Silviculture & Mixed farming",GENERAL AGRO-FORESTRY - SILVICULTURE AND MIXED FARMING SOLUTIONS,0,Develop technology and research transfer process between research institutions and agro-silvo-pastoral communities.,0,0,0,0,Chad,1
684,ADAPTATION,Agriculture and Forestry,"Agro-forestry, Silviculture & Mixed farming",AGROFORESTRY,0,Use of agroforestry to help farmers develop intensive and diverse cultivation.,Diversification includes multiple livestock species management and combining livestock and agriculture.,0,0,0,Chad,1
685,ADAPTATION,Agriculture and Forestry,Increasing crop resilience and productivity,PEST AND INSECT CONTROL,0,Preventing and fighting bio-agressor pests,0,0,0,0,Chad,1
686,ADAPTATION,Agriculture and Forestry,Increasing crop resilience and productivity,IMPROVED CULTIVATION TECHNIQUES,0,Provide farmers improved inputs (organic fertilizers etc.) and reinforce stakeholder attitudes towards intensive and sustainable methods of production.,Goal is to develop intensive and diverse cultivation.,0,0,0,Chad,1
688,ADAPTATION,Agriculture and Forestry,Livestock management,SELECTIVE BREEDING VIA CONTROLLED MATING,0,Improve genetic diversity of various livestock species.,0,0,0,0,Chad,1
689,ADAPTATION,Water,Water efficiency and demand management,WATER ACCOUNTING,0,Account for water in order to ensure sustainable use of water resources.,0,0,0,0,Chad,1
690,ADAPTATION,Water,Water efficiency and demand management,IMPROVED IRRIGATION EFFICIENCY,0,Repair and management of water resources for agricultural uses.,"Includes retention ponds, artificial lakes.",0,0,0,Chad,1
691,ADAPTATION,Water,Water augmentation (increasing capture and storage of surface runoff),RAINWATER HARVESTING,0,Implementing steps to increase water availability for rain-fed and flood-recession crops.,0,0,0,0,Chad,1
692,ADAPTATION,Water,Integrated planning,INTEGRATED WATER RESOURCES MANAGEMENT,0,"Apply integrated water resource management to improve water management and water governance.
 Create a drinking water system.",0,0,0,0,Chad,1
693,ADAPTATION,Water,Integrated planning,HYDROLOGICAL MODELLING,0,Improve forecasting abilities for precipitation and surface runoff.,0,0,0,0,Chad,1
694,ADAPTATION,Water,Water allocation,WATER REALLOCATION,0,"Construct canals to enable transportation and supply drops to polders around Lake Chad.
 Enable water restrictions to ensure sustainable use of water resources.",0,0,0,0,Chad,1
695,ADAPTATION,Human Health,Vector-borne diseases,VECTOR-BORNE DISEASE PREVENTION,0,Prev,0,0,0,0,Chad,1
696,ADAPTATION,Marine and Fisheries,Fisheries management,FISH FARMING,0,Develop rainfed fish production to conserve water resources.,0,0,0,0,Chad,1
